PK_Tyr_Ser-Thr	PF07714.22	ENST00000496384-BRAF	457	714
Pkinase	PF00069.30	ENST00000496384-BRAF	457	716
RBD	PF02196.20	ENST00000496384-BRAF	156	225
RBD	PF02196.20	ENST00000496384-BRAF	731	757
C1_1	PF00130.27	ENST00000496384-BRAF	235	282
Kinase-like	PF14531.11	ENST00000496384-BRAF	536	704
zf-RING-like	PF08746.16	ENST00000496384-BRAF	248	276
ABC1	PF03109.21	ENST00000496384-BRAF	460	489
ABC1	PF03109.21	ENST00000496384-BRAF	516	604
C1_2	PF03107.21	ENST00000496384-BRAF	231	273
Pkinase_fungal	PF17667.6	ENST00000496384-BRAF	541	650
